iter	Passed	Remaining
1289	188982	104013
1290	189122	103863
1291	189266	103715
1292	189420	103573
1293	189568	103427
1294	189729	103289
1295	189874	103141
1296	190039	103005
1297	190189	102860
1298	190335	102713
1299	190480	102566
1300	190619	102415
1301	190759	102265
1302	190902	102117
1303	191054	101974
1304	191194	101824
1305	191344	101679
1306	191505	101540
1307	191660	101398
1308	191815	101256
1309	191959	101108
1310	192118	100968
1311	192262	100820
1312	192417	100678
1313	192583	100542
1314	192724	100392
1315	192896	100259
1316	193038	100110
1317	193173	99957
1318	193328	99815
1319	193485	99674
1320	193627	99525
1321	193779	99381
1322	193942	99243
1323	194096	99100
1324	194257	98961
1325	194420	98823
1326	194552	98669
1327	194702	98524
1328	194854	98380
1329	194996	98231
1330	195139	98082
1331	195287	97936
1332	195438	97792
1333	195562	97634
1334	195689	97478
1335	195844	97335
1336	195995	97191
1337	196143	97045
1338	196234	96871
1339	196380	96724
1340	196525	96577
1341	196669	96429
1342	196823	96286
1343	196978	96144
1344	197128	95999
1345	197264	95847
1346	197411	95701
1347	197564	95558
1348	197707	95409
1349	197853	95262
1350	198000	95116
1351	198143	94968
1352	198282	94817
1353	198435	94674
1354	198588	94530
1355	198741	94387
1356	198876	94235
1357	199042	94098
1358	199197	93955
1359	199335	93804
1360	199482	93658
1361	199624	93509
1362	199774	93364
1363	199927	93221
1364	200082	93078
1365	200221	92928
1366	200384	92789
1367	200527	92641
1368	200681	92498
1369	200830	92352
1370	200985	92210
1371	201134	92064
1372	201277	91916
1373	201421	91768
1374	201568	91622
1375	201699	91468
1376	201852	91324
1377	201998	91177
1378	202144	91030
1379	202283	90880
1380	202402	90722
1381	202567	90583
1382	202690	90426
1383	202844	90283
1384	203000	90140
1385	203132	89987
1386	203272	89838
1387	203422	89693
1388	203576	89550
1389	203706	89396
1390	203860	89252
1391	204000	89103
1392	204154	88960
1393	204239	88786
1394	204382	88638
1395	204522	88489
1396	204668	88343
1397	204751	88169
1398	204836	87996
1399	204998	87856
1400	205150	87712
1401	205296	87565
1402	205383	87394
1403	205527	87246
1404	205671	87099
1405	205813	86951
1406	205960	86805
1407	206086	86650
1408	206218	86497
1409	206355	86347
1410	206515	86206
1411	206649	86054
1412	206798	85909
1413	206933	85758
1414	207091	85617
1415	207219	85463
1416	207371	85319
1417	207519	85173
1418	207662	85025
1419	207821	84884
1420	207981	84744
1421	208063	84571
1422	208228	84432
1423	208385	84290
1424	208540	84148
1425	208699	84006
1426	208842	83859
1427	209000	83717
1428	209133	83565
1429	209276	83418
1430	209439	83278
1431	209594	83135
1432	209747	82991
1433	209896	82846
1434	210049	82702
1435	210169	82545
1436	210333	82406
1437	210471	82256
1438	210620	82111
1439	210767	81964
1440	210926	81823
1441	211056	81671
1442	211189	81519
1443	211334	81372
1444	211491	81230
1445	211626	81079
1446	211776	80934
1447	211914	80784
1448	212064	80640
1449	212217	80496
1450	212310	80329
1451	212452	80181
1452	212591	80032
1453	212746	79889
1454	212896	79744
1455	213047	79600
1456	213197	79455
1457	213345	79309
1458	213469	79155
1459	213603	79004
1460	213754	78859
1461	213917	78719
1462	214067	78574
1463	214208	78425
1464	214365	78283
1465	214516	78138
1466	214672	77996
1467	214821	77850
1468	214959	77701
1469	215105	77554
1470	215255	77409
1471	215409	77266
1472	215549	77117
1473	215670	76962
1474	215814	76815
1475	215958	76668
1476	216095	76518
1477	216251	76375
1478	216386	76225
1479	216524	76076
1480	216679	75933
1481	216822	75785
1482	216984	75644
1483	217128	75497
1484	217277	75352
1485	217436	75210
1486	217573	75060
1487	217724	74915
1488	217843	74760
1489	217985	74612
1490	218132	74466
1491	218255	74312
1492	218405	74167
1493	218491	74000
1494	218632	73852
1495	218763	73701
1496	218919	73558
1497	219055	73408
1498	219197	73260
1499	219351	73117
1500	219504	72973
1501	219654	72828
1502	219803	72682
1503	219938	72533
1504	220083	72386
1505	220255	72248
1506	220415	72106
1507	220565	71961
1508	220718	71817
1509	220872	71673
1510	221028	71530
1511	221171	71383
